Score,country,User's lifetime number of transactions,User's language,User is referred? (1=True/0=False),Seconds between user's first booking date and created_at,User's address_status_id,USer's identity_status_id,User's lifetime number of referrals
9,3,2,4,0,484,2,3,0
9,3,2,2,0,967,3,3,0
9,3,2,1,0,764,3,3,0
9,3,2,4,0,33629621,3,3,0
9,3,2,1,0,19624172,3,3,0
9,3,2,3,0,467,3,3,0
9,3,2,1,1,3692747,1,3,0
9,3,2,1,0,172339,3,3,0
9,3,2,1,0,3764521,3,3,0
9,3,2,1,0,512110,1,3,0
9,3,2,4,1,7406,3,3,0
9,3,2,1,0,2573995,3,3,0
10,3,2,5,0,3779,3,3,23
10,3,2,2,0,63215,3,3,0
10,3,2,3,1,261,3,3,12
10,3,2,1,0,886,3,3,0
10,3,2,2,0,713,3,3,0
10,3,2,2,1,308,1,3,4
10,3,2,1,0,396,1,3,3
10,3,2,3,0,45036,1,3,0
10,3,2,4,1,508,1,3,0
10,3,2,1,0,163419,3,3,0
10,3,2,2,0,1604,1,3,0
10,3,2,3,1,558,3,3,0
10,3,2,1,1,238270,3,3,0
10,3,2,5,0,650,1,3,0
10,3,2,5,0,449,3,3,0
10,3,2,2,0,583,1,3,0
10,3,2,4,0,22301361,3,3,1
10,3,2,1,0,207,3,3,0
10,3,2,1,0,783,1,3,0
10,3,2,2,1,90023,1,3,0
10,3,2,1,0,1325,1,3,1
10,3,2,4,0,389,1,3,2
10,3,2,2,0,757,1,3,1
10,3,2,4,0,624,1,3,1
10,3,2,3,1,398,1,3,0
10,3,2,2,0,459,1,3,0
10,3,2,3,0,2655406,3,3,0
10,3,2,1,0,513,3,3,0
10,3,2,1,1,406,1,3,0
10,3,2,4,0,98592,1,3,4
10,3,2,5,0,440,3,3,0
10,3,2,2,0,8753514,1,3,0
10,3,2,2,0,549,3,3,0
10,3,2,2,0,1213466,3,3,0
10,3,2,4,1,803,1,3,0
10,3,2,1,0,1548784,1,3,2
10,3,2,4,0,3684090,3,3,0
10,3,2,2,1,181960,3,3,0
10,3,2,1,0,483,2,3,0
10,3,2,1,1,165691,3,3,2
10,3,2,1,0,1873,3,3,0
10,3,2,3,0,970,3,3,0
10,3,2,1,0,229,3,3,0
10,3,2,1,1,9601678,3,3,1
10,3,2,1,0,342,3,3,0
10,3,2,1,0,633,1,3,0
10,3,2,2,0,1538070,1,3,0
10,3,2,2,0,9157,3,3,0
10,3,2,4,0,3352398,3,3,0
10,3,2,3,0,924,3,3,0
10,3,2,4,0,1466,3,3,0
10,3,2,3,0,1566,3,3,0
10,3,2,1,0,2673162,1,3,5
10,3,2,1,1,5175,1,3,0
10,3,2,1,1,1365,1,3,0
10,3,2,1,0,544,1,3,1
10,3,2,3,0,1157,1,3,0
10,3,2,2,0,62979510,1,3,1
10,3,2,1,0,3959873,3,3,0
10,3,2,4,0,2366704,2,3,1
10,3,2,1,1,79731720,1,3,0
10,3,2,1,0,719673,1,3,0
10,3,2,4,1,330,1,3,0
10,3,2,1,0,479650,1,3,0
10,3,2,1,0,513430,1,3,1
10,3,2,3,1,486,3,3,0
10,3,2,4,0,17742538,1,3,0
10,3,2,2,0,7250565,3,3,0
10,3,2,1,0,348,3,3,0
10,3,2,3,0,82937,3,3,0
10,3,2,2,1,495,1,3,0
10,3,2,1,0,374,1,3,0
10,3,2,4,1,459,1,3,1
10,3,2,4,1,293,1,3,0
10,3,2,1,0,49754,3,3,0
10,3,2,2,0,1304,3,3,0
10,3,2,1,0,20208560,1,3,0
10,3,2,4,0,242916,2,3,0
10,3,2,1,0,269,1,3,1
